epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.536214292049408,0.548920214176178,0.8292006254196167,0.5303266048431396,0.6332857012748718,0.7239999771118164,0.9120553731918335,0.5871832966804504,0.9117646813392639,0.4959999918937683
1,0.7371428608894348,0.8187548518180847,0.5997897386550903,0.7222817540168762,0.7705714106559753,0.9603333473205566,0.9907993078231812,0.3283935785293579,0.938970148563385,0.984666645526886
2,0.8777857422828674,0.9458005428314209,0.4346793293952942,0.860826849937439,0.901285707950592,0.9409999847412109,0.9972630739212036,0.35596784949302673,0.8944543600082397,1.0
3,0.9193571209907532,0.9735130667686462,0.3716994524002075,0.9117688536643982,0.9285714030265808,0.9616666436195374,0.9985466599464417,0.3355787694454193,0.9287925958633423,1.0
4,0.9453571438789368,0.9848887920379639,0.3317222595214844,0.9395178556442261,0.9520000219345093,0.9556666612625122,0.9992141723632812,0.3275485336780548,0.9185547828674316,1.0
5,0.9630714058876038,0.9914143085479736,0.30178171396255493,0.9572577476501465,0.9694285988807678,0.9536666870117188,0.9993442296981812,0.31786203384399414,0.915192186832428,1.0
6,0.9737856984138489,0.9949703812599182,0.2824649214744568,0.9681016206741333,0.9798571467399597,0.9806666374206543,0.9993870854377747,0.27030619978904724,0.962772786617279,1.0
7,0.982285737991333,0.9957975745201111,0.27048105001449585,0.977645754814148,0.9871428608894348,0.9806666374206543,0.9995542168617249,0.2603118419647217,0.962772786617279,1.0
8,0.9837142825126648,0.9966451525688171,0.26456567645072937,0.9805563688278198,0.9869999885559082,0.9850000143051147,0.9997057914733887,0.25151899456977844,0.9708737730979919,1.0
9,0.9879999756813049,0.9976041316986084,0.2557925879955292,0.9856411814689636,0.9904285669326782,0.984000027179718,0.9998890161514282,0.25058671832084656,0.9689922332763672,1.0
10,0.9866428375244141,0.9974084496498108,0.25628045201301575,0.9840841293334961,0.9892857074737549,0.9766666889190674,0.9999359250068665,0.2640608847141266,0.9554139971733093,1.0
11,0.9902856945991516,0.9981262683868408,0.24998031556606293,0.9879158139228821,0.9927142858505249,0.9900000095367432,0.9998626112937927,0.23827625811100006,0.9803921580314636,1.0
12,0.991428554058075,0.9980804920196533,0.24786418676376343,0.9904477000236511,0.9924286007881165,0.9810000061988831,0.9999853372573853,0.25532782077789307,0.963391125202179,1.0
13,0.9918571710586548,0.9980854988098145,0.24665111303329468,0.989479660987854,0.9942857027053833,0.9893333315849304,0.9999844431877136,0.24281129240989685,0.9791122674942017,1.0
14,0.9915000200271606,0.9982807636260986,0.24598804116249084,0.991008996963501,0.9919999837875366,0.984000027179718,0.9999966621398926,0.25001198053359985,0.9689922332763672,1.0
15,0.9938571453094482,0.998963475227356,0.24104546010494232,0.9927309155464172,0.9950000047683716,0.9909999966621399,0.9999733567237854,0.2368866354227066,0.9823182821273804,1.0
16,0.9944999814033508,0.9986560940742493,0.24005617201328278,0.9931614398956299,0.9958571195602417,0.9866666793823242,0.9999999403953552,0.24196328222751617,0.9740259647369385,1.0
17,0.9950714111328125,0.9988057613372803,0.23867374658584595,0.9941537380218506,0.9959999918937683,0.9959999918937683,0.9999991059303284,0.2280334234237671,0.9920634627342224,1.0
18,0.996071457862854,0.9989591836929321,0.23646913468837738,0.9945876598358154,0.9975714087486267,0.9946666955947876,0.9999993443489075,0.23052695393562317,0.9894459247589111,1.0
19,0.9954285621643066,0.9988574981689453,0.23713350296020508,0.9948630332946777,0.9959999918937683,0.9929999709129333,1.0,0.23448477685451508,0.9861932992935181,1.0
20,0.9958571195602417,0.9988424777984619,0.23656368255615234,0.9954324960708618,0.9962857365608215,0.9903333187103271,1.0,0.23709605634212494,0.9810333847999573,1.0
21,0.9955714344978333,0.9992128610610962,0.23569762706756592,0.9948644638061523,0.9962857365608215,0.9950000047683716,1.0,0.22885283827781677,0.9900990128517151,1.0
22,0.9964285492897034,0.9990770816802979,0.23459622263908386,0.9958618879318237,0.996999979019165,0.9916666746139526,1.0,0.23550093173980713,0.9836065769195557,1.0
23,0.9969285726547241,0.999168336391449,0.233407661318779,0.9962905049324036,0.9975714087486267,0.9923333525657654,1.0,0.23408931493759155,0.9848982095718384,1.0
24,0.9968571662902832,0.999143660068512,0.23368065059185028,0.995724081993103,0.9980000257492065,0.9926666617393494,1.0000001192092896,0.232660710811615,0.9855453372001648,1.0
25,0.99657142162323,0.999354362487793,0.23296363651752472,0.996004581451416,0.9971428513526917,0.9950000047683716,1.0,0.2292107343673706,0.9900990128517151,1.0
26,0.99657142162323,0.9991296529769897,0.23310518264770508,0.99558025598526,0.9975714087486267,0.9940000176429749,1.0,0.23058030009269714,0.9881423115730286,1.0
27,0.9959285855293274,0.9995115399360657,0.2328064888715744,0.9955745935440063,0.9962857365608215,0.9946666955947876,1.0000001192092896,0.2301470935344696,0.9894459247589111,1.0
28,0.9974285960197449,0.9991931319236755,0.23217527568340302,0.9968607425689697,0.9980000257492065,0.9946666955947876,1.0,0.23026715219020844,0.9894459247589111,1.0
29,0.9981428384780884,0.999302327632904,0.2313041239976883,0.9970068335533142,0.9992856979370117,0.9946666955947876,1.0,0.23027847707271576,0.9894459247589111,1.0
