epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5435000061988831,0.5565086603164673,6.0137303080409765e-05,0.8068954348564148,0.5387552380561829,0.6047142744064331,0.699999988079071,0.8865733742713928,0.6080083847045898,0.9273504018783569,0.4339999854564667
1,0.7365714311599731,0.8172438144683838,0.00012027460616081953,0.6006962656974792,0.724086582660675,0.7644285559654236,0.9369999766349792,0.9843568801879883,0.36255326867103577,0.9505154490470886,0.921999990940094
2,0.8616428375244141,0.9366370439529419,0.0001804119092412293,0.45068803429603577,0.8435336947441101,0.8880000114440918,0.9599999785423279,0.9957364201545715,0.31640172004699707,0.9280397295951843,0.9973333477973938
3,0.9177142977714539,0.968568742275238,0.00024054921232163906,0.381443053483963,0.9087224006652832,0.9287142753601074,0.9633333086967468,0.9975159764289856,0.31609782576560974,0.9327521920204163,0.9986666440963745
4,0.9405714273452759,0.9820340275764465,0.0003000000142492354,0.3401976227760315,0.9314493536949158,0.9511428475379944,0.9583333134651184,0.9988337755203247,0.32073110342025757,0.9230769276618958,1.0
5,0.9608571529388428,0.9893749952316284,0.00029996383818797767,0.3087340295314789,0.9560362100601196,0.9661428332328796,0.9743333458900452,0.999254047870636,0.2832818925380707,0.9517460465431213,0.9993333220481873
6,0.9675714373588562,0.992685854434967,0.000299856998026371,0.2912956178188324,0.9604671001434326,0.9752857089042664,0.9819999933242798,0.9993478059768677,0.2679145634174347,0.9652509689331055,1.0
7,0.9763571619987488,0.9942609667778015,0.0002996794937644154,0.27770182490348816,0.9710410833358765,0.9819999933242798,0.9599999785423279,0.9994755983352661,0.29510030150413513,0.9259259104728699,1.0
8,0.9818571209907532,0.9958758354187012,0.00029943144181743264,0.26813754439353943,0.9761434197425842,0.9878571629524231,0.9750000238418579,0.9996530413627625,0.26754841208457947,0.9523809552192688,1.0
9,0.9854999780654907,0.9971858263015747,0.0002991129586007446,0.25979456305503845,0.9821251034736633,0.9890000224113464,0.9826666712760925,0.9999511241912842,0.2553010582923889,0.9664948582649231,1.0
10,0.9867143034934998,0.9969713091850281,0.0002987241605296731,0.25765106081962585,0.9833995699882507,0.9901428818702698,0.9900000095367432,0.9995675683021545,0.24233591556549072,0.9803921580314636,1.0
11,0.989642858505249,0.9979605078697205,0.0002982652513310313,0.25118497014045715,0.9869299530982971,0.9924286007881165,0.9816666841506958,0.9996286630630493,0.2543995976448059,0.9646302461624146,1.0
12,0.9907857179641724,0.9978963732719421,0.0002977364929392934,0.24860180914402008,0.9883440136909485,0.9932857155799866,0.9956666827201843,0.9999809265136719,0.2318931519985199,0.9914078116416931,1.0
13,0.9905714392662048,0.9982224106788635,0.000297138059977442,0.24742157757282257,0.9893131852149963,0.9918571710586548,0.9956666827201843,0.999993085861206,0.23068761825561523,0.9914078116416931,1.0
14,0.9910714030265808,0.9985400438308716,0.00029647027258761227,0.24493545293807983,0.9900214076042175,0.9921428561210632,0.9800000190734863,0.9999982118606567,0.2594872713088989,0.9615384340286255,1.0
15,0.9929999709129333,0.9986389875411987,0.0002957334218081087,0.2421848475933075,0.9918757081031799,0.9941428303718567,0.996999979019165,0.9999974370002747,0.22651943564414978,0.9940357804298401,1.0
16,0.9934285879135132,0.9982362985610962,0.0002949278859887272,0.24137099087238312,0.9920228123664856,0.994857132434845,0.9973333477973938,0.9999982714653015,0.22551147639751434,0.9946949481964111,1.0
