epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9662941098213196,0.9939183592796326,0.0010000000474974513,0.09143944084644318,0.9611402153968811,0.9718823432922363,0.8960000276565552,0.9976347088813782,0.24600137770175934,0.8278145790100098,1.0
1,0.9880588054656982,0.9986574649810791,0.0010000000474974513,0.03540843725204468,0.9867417812347412,0.9894117712974548,0.9993333220481873,0.9996588826179504,0.00397326797246933,0.9986684322357178,1.0
2,0.9922353029251099,0.9992253184318542,0.0010000000474974513,0.023488180711865425,0.9914258718490601,0.9930588006973267,0.9986666440963745,0.9996662139892578,0.00829320028424263,0.9973404407501221,1.0
3,0.994705855846405,0.9993847608566284,0.0010000000474974513,0.016293538734316826,0.9944731593132019,0.9949411749839783,0.9993333220481873,0.9996666312217712,0.005531645379960537,0.9986684322357178,1.0
4,0.9968235492706299,0.9997819662094116,0.0010000000474974513,0.008645624853670597,0.9968235492706299,0.9968235492706299,0.999666690826416,1.0,0.001158817089162767,0.9993337988853455,1.0
5,0.9968235492706299,0.9997092485427856,0.0010000000474974513,0.009498226456344128,0.9963563680648804,0.9972941279411316,0.999666690826416,0.9996650815010071,0.0026056410279124975,0.9993337988853455,1.0
6,0.9967058897018433,0.9996016621589661,0.0010000000474974513,0.009571193717420101,0.9963555335998535,0.9970588088035583,0.9879999756813049,0.999000072479248,0.045048024505376816,0.9765625,1.0
7,0.9975882172584534,0.9999181032180786,0.0010000000474974513,0.006204354111105204,0.9971787929534912,0.9980000257492065,0.9986666440963745,0.999666690826416,0.007955825887620449,0.9973404407501221,1.0
8,0.9980000257492065,0.9998568296432495,0.0010000000474974513,0.006658765021711588,0.9975317120552063,0.9984706044197083,0.9990000128746033,0.9996665120124817,0.004256784915924072,0.9980040192604065,1.0
9,0.9985882639884949,0.9999304413795471,0.0010000000474974513,0.004237088840454817,0.9982365369796753,0.99894118309021,0.999666690826416,0.9996657371520996,0.002392639871686697,0.9993337988853455,1.0
10,0.9987058639526367,0.9998714923858643,0.0005000000237487257,0.0044380915351212025,0.9987058639526367,0.9987058639526367,0.9993333220481873,0.999992847442627,0.002919011516496539,0.9993333220481873,0.9993333220481873
11,0.99876469373703,0.9999925494194031,0.0005000000237487257,0.003493594005703926,0.9984714984893799,0.9990588426589966,0.999666690826416,0.9996659755706787,0.0019608011934906244,0.9993337988853455,1.0
12,0.999294102191925,0.9999959468841553,0.0005000000237487257,0.0025704356376081705,0.9994116425514221,0.9991764426231384,0.9990000128746033,0.9996666312217712,0.004023060668259859,0.9980040192604065,1.0
13,0.9985882639884949,0.999927282333374,0.0005000000237487257,0.0044111511670053005,0.9981194138526917,0.9990588426589966,0.9980000257492065,0.9997642636299133,0.016926920041441917,0.998664915561676,0.9973333477973938
14,0.9983529448509216,0.999927282333374,0.0005000000237487257,0.004804551601409912,0.9983529448509216,0.9983529448509216,1.0,1.0,0.00030377518851310015,1.0,1.0
